"MetWatch daily weather data for Kumeu, Auckland"
"Start Date","Max Air Temp. (°C)","Min Air Temp. (°C)","Mean Air Temp. (°C)","Rainfall (mm)","Evapo-transpiration (mm/d)","Backup Data","Missing Data"
"Sat 11th Jun 2016",18.1,8.4,13.2,0.4,0.7,,
"Sun 12th Jun 2016",17.9,9.1,13.5,3.4,1.7,,
"Mon 13th Jun 2016",14.8,3.6,9.2,0.2,0.8,,
"Tue 14th Jun 2016",16.2,8.1,12.2,2.8,0.7,,
"Wed 15th Jun 2016",15.5,4.6,10.0,2.4,0.6,,
"Thu 16th Jun 2016",17.0,2.1,9.6,0.2,0.7,,
"Fri 17th Jun 2016",15.8,4.6,10.2,0.6,0.6,,
"Sat 18th Jun 2016",14.2,9.7,12.0,0.0,0.9,,
"Sun 19th Jun 2016",17.0,5.4,11.2,0.2,0.9,,
"Mon 20th Jun 2016",16.7,7.5,12.1,0.4,0.6,,
"Tue 21st Jun 2016",17.9,13.2,15.5,4.0,0.8,,
"Wed 22nd Jun 2016",17.8,14.6,16.2,30.4,0.5,,
"Thu 23rd Jun 2016",17.6,12.7,15.2,6.4,1.2,,
"Fri 24th Jun 2016",16.9,6.5,11.7,4.4,0.9,,
"Sat 25th Jun 2016",15.8,12.0,13.9,7.6,0.6,,
"Sun 26th Jun 2016",16.5,9.1,12.8,16.4,1.0,,
"Mon 27th Jun 2016",16.8,11.2,14.0,4.2,1.2,,
"Tue 28th Jun 2016",16.5,10.5,13.5,7.8,0.7,,
"Wed 29th Jun 2016",15.5,9.8,12.7,35.6,0.5,,
"Thu 30th Jun 2016",15.5,2.1,8.8,1.2,0.7,,
"Fri 1st Jul 2016",12.8,-2.5,5.2,0.0,0.7,,
"Sat 2nd Jul 2016",13.4,-3.1,5.2,0.2,0.6,,
"Sun 3rd Jul 2016",14.1,0.6,7.3,0.2,0.5,,
"Mon 4th Jul 2016",16.9,2.4,9.6,0.0,0.6,,
"Tue 5th Jul 2016",15.8,4.0,9.9,0.4,0.6,,
"Wed 6th Jul 2016",16.1,8.4,12.2,0.0,0.6,,
"Thu 7th Jul 2016",15.1,12.2,13.6,34.8,0.7,,
"Fri 8th Jul 2016",15.9,10.6,13.2,0.4,0.9,,
"Sat 9th Jul 2016",13.9,8.1,11.0,0.0,1.4,,
"Sun 10th Jul 2016",14.2,6.9,10.6,0.0,1.2,,
"Mon 11th Jul 2016",14.3,1.5,7.9,0.0,1.0,,
"Tue 12th Jul 2016",15.0,0.6,7.8,0.0,0.7,,
"Wed 13th Jul 2016",15.1,4.2,9.7,16.4,0.9,,
"Thu 14th Jul 2016",15.5,9.3,12.4,2.8,1.7,,
"Fri 15th Jul 2016",16.4,9.6,13.0,6.8,1.8,,
"Sat 16th Jul 2016",14.6,10.8,12.7,2.0,1.8,,
"Sun 17th Jul 2016",15.3,9.6,12.5,11.2,1.6,,
"Mon 18th Jul 2016",14.9,11.0,12.9,0.4,1.6,,
"Tue 19th Jul 2016",15.0,11.2,13.1,7.0,1.9,,
"Wed 20th Jul 2016",14.6,11.3,12.9,2.2,1.5,,
"Thu 21st Jul 2016",15.3,8.4,11.8,0.0,1.2,,
"Fri 22nd Jul 2016",15.2,9.6,12.4,12.2,1.0,,
"Sat 23rd Jul 2016",18.6,14.6,16.6,18.2,0.9,,
"Sun 24th Jul 2016",16.7,11.4,14.1,1.2,2.0,,
"Mon 25th Jul 2016",15.9,7.5,11.7,17.2,1.4,,
"Tue 26th Jul 2016",16.2,3.8,10.0,0.2,0.9,,
"Wed 27th Jul 2016",17.0,9.2,13.1,0.0,1.0,,
"Thu 28th Jul 2016",16.3,10.9,13.6,9.6,1.6,,
"Fri 29th Jul 2016",15.9,8.7,12.3,3.2,1.8,,
"Sat 30th Jul 2016",16.5,10.1,13.3,3.2,1.8,,
"Sun 31st Jul 2016",13.5,7.2,10.4,5.0,1.5,,
"Mon 1st Aug 2016",14.7,8.7,11.7,17.2,1.2,,
"Tue 2nd Aug 2016",15.0,7.1,11.1,0.6,1.2,,
"Wed 3rd Aug 2016",16.7,12.1,14.4,15.8,1.1,,
"Thu 4th Aug 2016",13.5,8.3,10.9,6.2,0.7,,
"Fri 5th Aug 2016",14.0,8.0,11.0,3.0,1.3,,
"Sat 6th Aug 2016",10.9,7.2,9.0,7.6,1.2,,
"Sun 7th Aug 2016",11.3,2.1,6.7,1.8,1.2,,
"Mon 8th Aug 2016",12.0,-0.4,5.8,0.0,0.8,,
"Tue 9th Aug 2016",13.0,6.9,10.0,18.6,1.2,,
"Wed 10th Aug 2016",11.6,8.1,9.8,2.4,1.0,,
"Thu 11th Aug 2016",15.6,3.0,9.3,0.2,1.2,,
"Fri 12th Aug 2016",16.3,9.6,13.0,2.2,1.1,,
"Sat 13th Aug 2016",15.3,1.9,8.6,0.0,1.1,,
"Sun 14th Aug 2016",14.4,7.7,11.0,0.0,1.2,,
"Mon 15th Aug 2016",16.2,-0.2,8.0,0.0,1.2,,
"Tue 16th Aug 2016",17.5,0.7,9.1,0.0,1.4,,
"Wed 17th Aug 2016",16.8,0.4,8.6,0.0,1.4,,
"Thu 18th Aug 2016",15.9,1.0,8.4,0.0,1.3,,
"Fri 19th Aug 2016",16.2,2.2,9.2,0.0,1.2,,
"Sat 20th Aug 2016",16.2,3.3,9.7,0.0,1.5,,
"Sun 21st Aug 2016",15.2,3.6,9.4,0.2,1.2,,
"Mon 22nd Aug 2016",17.1,4.1,10.6,2.6,1.3,,
"Tue 23rd Aug 2016",16.3,5.4,10.8,0.0,1.5,,
"Wed 24th Aug 2016",15.4,7.1,11.3,43.6,0.7,,
"Thu 25th Aug 2016",18.6,13.8,16.2,19.8,0.8,,
"Fri 26th Aug 2016",19.4,11.6,15.5,2.4,2.4,,
"Sat 27th Aug 2016",15.7,5.9,10.8,0.0,2.0,,
"Sun 28th Aug 2016",16.8,6.4,11.6,0.0,1.8,,
"Mon 29th Aug 2016",14.7,10.6,12.7,3.6,1.3,,
"Tue 30th Aug 2016",16.3,2.7,9.5,0.0,1.6,,
"Wed 31st Aug 2016",17.4,3.6,10.5,0.0,1.8,,
"Thu 1st Sep 2016",15.6,8.8,12.2,1.4,1.5,,
"Fri 2nd Sep 2016",17.8,12.9,15.4,0.0,2.0,,
"Sat 3rd Sep 2016",17.6,14.0,15.8,1.0,1.3,,
"Sun 4th Sep 2016",20.9,13.6,17.2,13.4,2.1,,
"Mon 5th Sep 2016",16.5,11.9,14.2,2.0,2.0,,
"Tue 6th Sep 2016",15.9,5.6,10.8,0.0,1.8,,
"Wed 7th Sep 2016",15.8,8.4,12.1,0.8,2.5,,
"Thu 8th Sep 2016",11.6,6.4,9.0,0.2,2.0,,
"Fri 9th Sep 2016",12.7,5.4,9.1,0.0,2.4,,
"Sat 10th Sep 2016",14.8,0.5,7.7,0.0,2.2,,
"Sun 11th Sep 2016",17.3,0.9,9.1,0.0,2.2,,
"Mon 12th Sep 2016",16.5,3.8,10.2,0.0,1.8,,
"Tue 13th Sep 2016",16.9,6.0,11.5,0.0,2.2,,
"Wed 14th Sep 2016",18.2,0.0,9.1,4.2,1.9,,
"Thu 15th Sep 2016",17.2,12.9,15.1,17.6,0.9,,
"Fri 16th Sep 2016",21.1,12.9,17.0,0.0,1.9,,
"Sat 17th Sep 2016",17.3,12.4,14.8,15.2,1.0,,
"Sun 18th Sep 2016",16.1,12.6,14.3,0.4,1.3,,
"Mon 19th Sep 2016",16.0,7.7,11.8,0.0,1.8,,
"Tue 20th Sep 2016",15.5,12.2,13.8,30.0,1.6,,
"Wed 21st Sep 2016",15.6,10.7,13.2,1.6,1.2,,
"Thu 22nd Sep 2016",17.8,13.6,15.7,4.4,1.7,,
"Fri 23rd Sep 2016",18.5,12.0,15.3,0.2,1.8,,
"Sat 24th Sep 2016",15.1,13.9,14.5,25.8,0.8,,
"Sun 25th Sep 2016",16.0,12.4,14.2,16.6,1.0,,
"Mon 26th Sep 2016",18.6,13.0,15.8,0.4,2.2,,
"Tue 27th Sep 2016",19.6,12.2,15.9,2.0,2.5,,
"Wed 28th Sep 2016",15.7,10.3,13.0,20.8,1.0,,
"Thu 29th Sep 2016",19.9,10.2,15.1,0.2,2.7,,
"Fri 30th Sep 2016",19.3,13.3,16.3,9.6,2.5,,
"Sat 1st Oct 2016",18.0,13.9,15.9,9.6,1.6,,
"Sun 2nd Oct 2016",20.5,10.3,15.4,7.0,1.8,,
"Mon 3rd Oct 2016",18.4,9.5,14.0,1.8,2.2,,
"Tue 4th Oct 2016",18.3,12.5,15.4,17.2,2.3,,
"Wed 5th Oct 2016",18.0,13.6,15.8,1.2,2.7,,
"Thu 6th Oct 2016",16.7,9.3,13.0,17.6,2.4,,
"Fri 7th Oct 2016",15.9,10.1,13.0,3.0,2.2,,
"Sat 8th Oct 2016",17.2,13.5,15.3,0.0,3.0,,
"Sun 9th Oct 2016",17.3,10.2,13.7,3.8,1.6,,
"Mon 10th Oct 2016",17.6,11.7,14.7,8.0,1.7,,
"Tue 11th Oct 2016",21.0,14.0,17.5,1.2,2.9,,
"Wed 12th Oct 2016",19.2,6.3,12.8,0.2,2.1,,
"Thu 13th Oct 2016",17.3,4.3,10.8,0.0,3.2,,
"Fri 14th Oct 2016",18.0,8.0,13.0,6.6,2.2,,
"Sat 15th Oct 2016",15.5,8.6,12.1,4.2,2.5,,
"Sun 16th Oct 2016",16.9,13.1,15.0,0.0,2.9,,
"Mon 17th Oct 2016",18.2,7.8,13.0,0.0,3.0,,
"Tue 18th Oct 2016",18.3,8.9,13.6,0.0,3.2,,
"Wed 19th Oct 2016",20.1,14.7,17.4,0.0,3.0,,
"Thu 20th Oct 2016",20.9,10.3,15.6,1.0,2.7,,
"Fri 21st Oct 2016",16.9,8.3,12.6,5.0,3.3,,
"Sat 22nd Oct 2016",17.1,5.8,11.4,0.0,3.3,,
"Sun 23rd Oct 2016",20.4,8.3,14.3,0.0,3.7,,
"Mon 24th Oct 2016",19.3,13.4,16.4,2.6,2.5,,
"Tue 25th Oct 2016",19.7,10.9,15.3,3.2,2.0,,
"Wed 26th Oct 2016",18.3,12.8,15.6,1.0,2.9,,
"Thu 27th Oct 2016",18.1,8.7,13.4,0.0,3.3,,
"Fri 28th Oct 2016",19.1,12.9,16.0,1.2,3.4,,
"Sat 29th Oct 2016",17.1,6.6,11.9,0.0,3.6,,
"Sun 30th Oct 2016",16.6,3.0,9.8,0.0,3.3,,
"Mon 31st Oct 2016",17.1,1.9,9.5,5.4,2.4,,
"Tue 1st Nov 2016",19.7,12.9,16.3,0.2,3.9,,
"Wed 2nd Nov 2016",17.9,8.2,13.1,0.4,2.9,,
"Thu 3rd Nov 2016",17.8,11.6,14.7,0.4,3.9,,
"Fri 4th Nov 2016",17.0,9.8,13.4,2.6,3.3,,
"Sat 5th Nov 2016",19.7,14.3,17.0,0.0,3.4,,
"Sun 6th Nov 2016",24.0,14.0,19.0,15.2,4.0,,
"Mon 7th Nov 2016",19.1,12.1,15.6,5.8,3.0,,
"Tue 8th Nov 2016",18.5,14.0,16.2,0.0,3.6,,
"Wed 9th Nov 2016",19.7,15.4,17.5,0.0,3.9,,
"Thu 10th Nov 2016",20.6,14.1,17.3,0.0,3.6,,
"Fri 11th Nov 2016",24.7,14.5,19.6,4.4,3.6,,
"Sat 12th Nov 2016",17.4,12.7,15.0,0.4,3.1,,
"Sun 13th Nov 2016",18.9,8.2,13.5,0.0,3.5,,
"Mon 14th Nov 2016",21.7,16.5,19.1,0.4,3.4,,
"Tue 15th Nov 2016",21.2,15.1,18.1,14.0,1.5,,
"Wed 16th Nov 2016",18.6,11.4,15.0,14.6,3.7,,
"Thu 17th Nov 2016",17.0,6.3,11.7,13.0,3.3,,
"Fri 18th Nov 2016",18.3,13.7,16.0,0.0,4.1,,
"Sat 19th Nov 2016",17.2,14.0,15.6,1.0,1.6,,
"Sun 20th Nov 2016",18.4,11.3,14.8,0.0,4.0,,
"Mon 21st Nov 2016",18.6,8.2,13.4,0.0,3.8,,
"Tue 22nd Nov 2016",19.9,7.0,13.4,0.0,4.0,,
"Wed 23rd Nov 2016",21.0,7.3,14.2,0.0,4.2,,
"Thu 24th Nov 2016",23.8,13.6,18.7,0.0,4.6,,
"Fri 25th Nov 2016",20.9,11.1,16.0,9.2,1.8,,
"Sat 26th Nov 2016",20.9,14.2,17.5,0.0,3.9,,
"Sun 27th Nov 2016",19.9,12.7,16.3,2.8,3.5,,
"Mon 28th Nov 2016",17.4,12.5,15.0,0.0,3.9,,
"Tue 29th Nov 2016",19.0,14.3,16.7,0.0,3.4,,
"Wed 30th Nov 2016",20.6,7.3,14.0,0.0,3.2,,
"Thu 1st Dec 2016",21.5,10.4,16.0,0.0,4.0,,
"Fri 2nd Dec 2016",21.5,12.6,17.1,0.0,3.8,,
"Sat 3rd Dec 2016",20.9,7.7,14.3,0.0,3.4,,
"Sun 4th Dec 2016",21.1,11.9,16.5,0.0,4.6,,
"Mon 5th Dec 2016",22.7,12.0,17.3,1.6,3.7,,
"Tue 6th Dec 2016",24.3,9.5,16.9,0.0,4.2,,
"Wed 7th Dec 2016",22.5,15.1,18.8,7.2,3.0,,
"Thu 8th Dec 2016",21.0,15.0,18.0,1.4,1.9,,
"Fri 9th Dec 2016",24.9,15.2,20.0,0.0,3.8,,
"Sat 10th Dec 2016",22.2,11.9,17.0,4.8,2.2,,
"Sun 11th Dec 2016",18.3,12.4,15.3,3.6,4.1,,
"Mon 12th Dec 2016",19.1,12.7,15.9,0.0,4.1,,
"Tue 13th Dec 2016",19.1,11.7,15.4,0.0,4.3,,
"Wed 14th Dec 2016",19.6,15.3,17.4,0.0,2.8,,
"Thu 15th Dec 2016",22.3,14.4,18.3,1.2,3.5,,
"Fri 16th Dec 2016",19.5,10.8,15.1,0.0,4.8,,
"Sat 17th Dec 2016",20.9,7.0,13.9,0.0,4.4,,
"Sun 18th Dec 2016",23.4,10.4,16.9,0.2,4.2,,
"Mon 19th Dec 2016",23.4,6.9,15.1,0.6,2.9,,
"Tue 20th Dec 2016",21.4,7.6,14.5,0.0,4.7,,
"Wed 21st Dec 2016",24.7,11.8,18.3,0.0,5.0,,
"Thu 22nd Dec 2016",24.8,13.6,19.2,10.0,4.1,,
"Fri 23rd Dec 2016",19.0,10.8,14.9,2.8,4.3,,
"Sat 24th Dec 2016",19.2,14.0,16.6,0.2,4.1,,
"Sun 25th Dec 2016",20.4,14.3,17.4,0.0,3.4,,
"Mon 26th Dec 2016",20.7,8.7,14.7,0.0,3.7,,
"Tue 27th Dec 2016",19.5,14.6,17.0,0.0,2.9,,
"Wed 28th Dec 2016",20.3,12.1,16.2,0.2,2.7,,
"Thu 29th Dec 2016",18.1,7.4,12.8,0.0,2.6,,
"Fri 30th Dec 2016",22.1,9.2,15.7,0.0,4.3,,
"Sat 31st Dec 2016",23.7,9.9,16.8,0.0,3.2,,
"Sun 1st Jan 2017",23.6,13.9,18.7,0.0,4.0,,
"Mon 2nd Jan 2017",-,18.5,-,6.6,-,,Some
"Tue 3rd Jan 2017",24.5,15.6,20.1,1.2,3.1,,
"Wed 4th Jan 2017",20.1,12.2,16.1,0.0,4.0,,
"Thu 5th Jan 2017",20.3,5.3,12.8,0.0,4.6,,
"Fri 6th Jan 2017",20.6,9.1,14.8,0.0,4.4,,
"Sat 7th Jan 2017",21.3,15.2,18.3,0.0,5.0,,
"Sun 8th Jan 2017",20.3,15.0,17.7,0.0,4.2,,
"Mon 9th Jan 2017",22.0,12.0,17.0,0.0,3.5,,
"Tue 10th Jan 2017",21.4,17.9,19.6,1.6,2.0,,
"Wed 11th Jan 2017",23.3,13.4,18.3,0.0,3.3,,
"Thu 12th Jan 2017",24.5,17.6,21.1,0.0,4.9,,
"Fri 13th Jan 2017",23.7,9.1,16.4,0.2,4.0,,
"Sat 14th Jan 2017",25.1,18.8,22.0,0.0,5.3,,
"Sun 15th Jan 2017",26.5,11.8,19.2,0.6,2.8,,
"Mon 16th Jan 2017",21.6,11.7,16.7,0.0,4.8,,
"Tue 17th Jan 2017",22.5,12.4,17.4,0.0,4.9,,
"Wed 18th Jan 2017",23.8,15.3,19.5,0.0,4.2,,
"Thu 19th Jan 2017",20.7,12.4,16.6,6.6,3.4,,
"Fri 20th Jan 2017",20.9,6.0,13.5,0.0,4.3,,
"Sat 21st Jan 2017",23.7,16.2,20.0,24.0,4.3,,
"Sun 22nd Jan 2017",21.4,14.1,17.7,0.2,4.2,,
"Mon 23rd Jan 2017",20.6,13.4,17.0,0.0,4.2,,
"Tue 24th Jan 2017",22.1,12.3,17.2,0.0,4.3,,
"Wed 25th Jan 2017",22.4,11.8,17.1,3.4,2.7,,
"Thu 26th Jan 2017",20.9,9.7,15.3,0.0,4.0,,
"Fri 27th Jan 2017",22.0,11.8,16.9,0.0,4.6,,
"Sat 28th Jan 2017",23.5,8.8,16.1,0.0,4.6,,
"Sun 29th Jan 2017",24.9,8.8,16.8,0.0,4.4,,
"Mon 30th Jan 2017",23.9,12.9,18.4,0.0,4.6,,
"Tue 31st Jan 2017",25.8,12.0,18.9,0.0,4.2,,
"Wed 1st Feb 2017",23.7,14.1,18.9,0.0,3.5,,
"Thu 2nd Feb 2017",24.9,18.0,21.5,3.0,3.7,,
"Fri 3rd Feb 2017",24.3,7.4,15.9,0.6,3.6,,
"Sat 4th Feb 2017",22.6,10.1,16.4,0.0,4.6,,
"Sun 5th Feb 2017",24.9,8.9,16.9,0.0,4.6,,
"Mon 6th Feb 2017",26.9,16.5,21.7,0.0,5.3,,
"Tue 7th Feb 2017",27.2,17.9,22.5,0.0,4.4,,
"Wed 8th Feb 2017",23.6,13.9,18.7,1.0,2.7,,
"Thu 9th Feb 2017",23.0,9.6,16.3,0.2,3.3,,
"Fri 10th Feb 2017",24.0,7.9,15.9,0.0,2.7,,
"Sat 11th Feb 2017",22.0,8.0,15.0,0.0,4.3,,
"Sun 12th Feb 2017",24.1,18.9,21.5,1.6,2.8,,
"Mon 13th Feb 2017",27.0,17.3,22.2,2.4,3.2,,
"Tue 14th Feb 2017",20.8,15.5,18.2,5.2,1.2,,
"Wed 15th Feb 2017",23.7,14.0,18.8,11.8,2.6,,
"Thu 16th Feb 2017",20.3,14.9,17.6,51.2,1.0,,
"Fri 17th Feb 2017",23.6,17.9,20.7,1.6,2.4,,
"Sat 18th Feb 2017",26.0,19.0,22.5,2.0,2.8,,
